time,device,cpu,timestamp,str,dtype,fft,tstamp,host
02/21/23 12:45 PM,E6FEE52,,101,"  1,E6FEE52, 0.3669,-1.5571,-9.7021, 2.1368,-9.1132,-80.6396,638.5474,-666.4526,-952.5586,2423614868.0,IMU",1,0,2423614868,
02/21/23 12:45 PM,E6FEE52,,105,"  1,E6FEE52, 0.3669,-1.5554,-9.7045, 2.1368,-9.0967,-80.6506,638.5474,-666.3867,-952.6025,2423624243.0,IMU",1,0,2423624243,
02/21/23 12:45 PM,E6FEE52,,109,"  1,E6FEE52, 0.3677,-1.5554,-9.7021, 2.1423,-9.1022,-80.6506,638.5693,-666.4087,-952.6025,2423633618.0,IMU",1,0,2423633618,
02/21/23 12:45 PM,E6FEE52,,113,"  1,E6FEE52, 0.3677,-1.5587,-9.7004, 2.1478,-9.1241,-80.6287,638.5913,-666.4966,-952.5146,2423642993.0,IMU",1,0,2423642993,
02/21/23 12:45 PM,E6FEE52,,117,"  1,E6FEE52, 0.3694,-1.5538,-9.7029, 2.1533,-9.0912,-80.6561,638.6133,-666.3647,-952.6245,2423652368.0,IMU",1,0,2423652368,
02/21/23 12:45 PM,E6FEE52,,121,"  1,E6FEE52, 0.3653,-1.5571,-9.7029, 2.1259,-9.1132,-80.6396,638.5034,-666.4526,-952.5586,2423661743.0,IMU",1,0,2423661743,
02/21/23 12:45 PM,E6FEE52,,125,"  1,E6FEE52, 0.3669,-1.5530,-9.7029, 2.1368,-9.0857,-80.6671,638.5474,-666.3428,-952.6685,2423671118.0,IMU",1,0,2423671118,
02/21/23 12:45 PM,E6FEE52,,129,"  1,E6FEE52, 0.3694,-1.5563,-9.7012, 2.1533,-9.1077,-80.6396,638.6133,-666.4307,-952.5586,2423680493.0,IMU",1,0,2423680493,
02/21/23 12:45 PM,E6FEE52,,133,"  1,E6FEE52, 0.3677,-1.5554,-9.7004, 2.1423,-9.1022,-80.6506,638.5693,-666.4087,-952.6025,2423689868.0,IMU",1,0,2423689868,
02/21/23 12:45 PM,E6FEE52,,137,"  1,E6FEE52, 0.3653,-1.5571,-9.7029, 2.1259,-9.1132,-80.6396,638.5034,-666.4526,-952.5586,2423699243.0,IMU",1,0,2423699243,
02/21/23 12:45 PM,E6FEE52,,141,"  1,E6FEE52, 0.3677,-1.5587,-9.7029, 2.1478,-9.1241,-80.6287,638.5913,-666.4966,-952.5146,2423708618.0,IMU",1,0,2423708618,
02/21/23 12:45 PM,E6FEE52,,145,"  1,E6FEE52, 0.3661,-1.5554,-9.7021, 2.1313,-9.1022,-80.6506,638.5254,-666.4087,-952.6025,2423717993.0,IMU",1,0,2423717993,
02/21/23 12:45 PM,E6FEE52,,149,"  1,E6FEE52, 0.3677,-1.5554,-9.7037, 2.1368,-9.1022,-80.6506,638.5474,-666.4087,-952.6025,2423727368.0,IMU",1,0,2423727368,
02/21/23 12:45 PM,E6FEE52,,153,"  1,E6FEE52, 0.3694,-1.5571,-9.7012, 2.1478,-9.1077,-80.6396,638.5913,-666.4307,-952.5586,2423736743.0,IMU",1,0,2423736743,
02/21/23 12:45 PM,E6FEE52,,157,"  1,E6FEE52, 0.3677,-1.5554,-9.7012, 2.1423,-9.1022,-80.6506,638.5693,-666.4087,-952.6025,2423746118.0,IMU",1,0,2423746118,
02/21/23 12:45 PM,E6FEE52,,161,"  1,E6FEE52, 0.3661,-1.5571,-9.7021, 2.1313,-9.1132,-80.6396,638.5254,-666.4526,-952.5586,2423755493.0,IMU",1,0,2423755493,
02/21/23 12:45 PM,E6FEE52,,165,"  1,E6FEE52, 0.3669,-1.5546,-9.7037, 2.1368,-9.0967,-80.6561,638.5474,-666.3867,-952.6245,2423764868.0,IMU",1,0,2423764868,
02/21/23 12:45 PM,E6FEE52,,169,"  1,E6FEE52, 0.3677,-1.5571,-9.7021, 2.1423,-9.1077,-80.6396,638.5693,-666.4307,-952.5586,2423774243.0,IMU",1,0,2423774243,
02/21/23 12:45 PM,E6FEE52,,173,"  1,E6FEE52, 0.3685,-1.5538,-9.7021, 2.1478,-9.0912,-80.6561,638.5913,-666.3647,-952.6245,2423783618.0,IMU",1,0,2423783618,
02/21/23 12:45 PM,E6FEE52,,177,"  1,E6FEE52, 0.3685,-1.5554,-9.7004, 2.1478,-9.1077,-80.6451,638.5913,-666.4307,-952.5806,2423792993.0,IMU",1,0,2423792993,
02/21/23 12:45 PM,E6FEE52,,181,"  1,E6FEE52, 0.3669,-1.5571,-9.7004, 2.1368,-9.1132,-80.6396,638.5474,-666.4526,-952.5586,2423802368.0,IMU",1,0,2423802368,
02/21/23 12:45 PM,E6FEE52,,185,"  1,E6FEE52, 0.3685,-1.5579,-9.7045, 2.1478,-9.1132,-80.6396,638.5913,-666.4526,-952.5586,2423811743.0,IMU",1,0,2423811743,
02/21/23 12:45 PM,E6FEE52,,189,"  1,E6FEE52, 0.3653,-1.5554,-9.7029, 2.1259,-9.0967,-80.6561,638.5034,-666.3867,-952.6245,2423821118.0,IMU",1,0,2423821118,
02/21/23 12:45 PM,E6FEE52,,193,"  1,E6FEE52, 0.3677,-1.5546,-9.7021, 2.1423,-9.0967,-80.6561,638.5693,-666.3867,-952.6245,2423830493.0,IMU",1,0,2423830493,
02/21/23 12:45 PM,E6FEE52,,197,"  1,E6FEE52, 0.3677,-1.5563,-9.7004, 2.1478,-9.1077,-80.6396,638.5913,-666.4307,-952.5586,2423839868.0,IMU",1,0,2423839868,
02/21/23 12:45 PM,E6FEE52,,201,"  1,E6FEE52, 0.3685,-1.5571,-9.7004, 2.1478,-9.1132,-80.6396,638.5913,-666.4526,-952.5586,2423849243.0,IMU",1,0,2423849243,
02/21/23 12:45 PM,E6FEE52,,205,"  1,E6FEE52, 0.3669,-1.5571,-9.7012, 2.1368,-9.1132,-80.6396,638.5474,-666.4526,-952.5586,2423858618.0,IMU",1,0,2423858618,
02/21/23 12:45 PM,E6FEE52,,209,"  1,E6FEE52, 0.3653,-1.5546,-9.7037, 2.1259,-9.0967,-80.6561,638.5034,-666.3867,-952.6245,2423867993.0,IMU",1,0,2423867993,
02/21/23 12:45 PM,E6FEE52,,213,"  1,E6FEE52, 0.3653,-1.5579,-9.7021, 2.1259,-9.1187,-80.6396,638.5034,-666.4746,-952.5586,2423877368.0,IMU",1,0,2423877368,
02/21/23 12:45 PM,E6FEE52,,217,"  1,E6FEE52, 0.3677,-1.5538,-9.7021, 2.1423,-9.0967,-80.6561,638.5693,-666.3867,-952.6245,2423886743.0,IMU",1,0,2423886743,
02/21/23 12:45 PM,E6FEE52,,221,"  1,E6FEE52, 0.3669,-1.5563,-9.6996, 2.1368,-9.1132,-80.6396,638.5474,-666.4526,-952.5586,2423896118.0,IMU",1,0,2423896118,
02/21/23 12:45 PM,E6FEE52,,225,"  1,E6FEE52, 0.3685,-1.5554,-9.7004, 2.1478,-9.1077,-80.6451,638.5913,-666.4307,-952.5806,2423905493.0,IMU",1,0,2423905493,
02/21/23 12:45 PM,E6FEE52,,229,"  1,E6FEE52, 0.3661,-1.5571,-9.7029, 2.1313,-9.1132,-80.6396,638.5254,-666.4526,-952.5586,2423914868.0,IMU",1,0,2423914868,
02/21/23 12:45 PM,E6FEE52,,233,"  1,E6FEE52, 0.3702,-1.5563,-9.7037, 2.1588,-9.1077,-80.6451,638.6353,-666.4307,-952.5806,2423924243.0,IMU",1,0,2423924243,
02/21/23 12:45 PM,E6FEE52,,237,"  1,E6FEE52, 0.3653,-1.5546,-9.7029, 2.1259,-9.0967,-80.6561,638.5034,-666.3867,-952.6245,2423933618.0,IMU",1,0,2423933618,
02/21/23 12:45 PM,E6FEE52,,241,"  1,E6FEE52, 0.3727,-1.5563,-9.7029, 2.1698,-9.1077,-80.6396,638.6792,-666.4307,-952.5586,2423942993.0,IMU",1,0,2423942993,
02/21/23 12:45 PM,E6FEE52,,245,"  1,E6FEE52, 0.3669,-1.5546,-9.7004, 2.1368,-9.0967,-80.6506,638.5474,-666.3867,-952.6025,2423952368.0,IMU",1,0,2423952368,
02/21/23 12:45 PM,E6FEE52,,249,"  1,E6FEE52, 0.3677,-1.5563,-9.7012, 2.1423,-9.1077,-80.6451,638.5693,-666.4307,-952.5806,2423961743.0,IMU",1,0,2423961743,
02/21/23 12:45 PM,E6FEE52,,253,"  1,E6FEE52, 0.3661,-1.5587,-9.7029, 2.1368,-9.1241,-80.6287,638.5474,-666.4966,-952.5146,2423971118.0,IMU",1,0,2423971118,
02/21/23 12:45 PM,E6FEE52,,257,"  1,E6FEE52, 0.3661,-1.5554,-9.7029, 2.1313,-9.1022,-80.6561,638.5254,-666.4087,-952.6245,2423980493.0,IMU",1,0,2423980493,
02/21/23 12:45 PM,E6FEE52,,261,"  1,E6FEE52, 0.3669,-1.5554,-9.7021, 2.1368,-9.1022,-80.6506,638.5474,-666.4087,-952.6025,2423989868.0,IMU",1,0,2423989868,
02/21/23 12:45 PM,E6FEE52,,265,"  1,E6FEE52, 0.3685,-1.5546,-9.7004, 2.1478,-9.0967,-80.6506,638.5913,-666.3867,-952.6025,2423999243.0,IMU",1,0,2423999243,
02/21/23 12:45 PM,E6FEE52,,269,"  1,E6FEE52, 0.3677,-1.5554,-9.6979, 2.1423,-9.1077,-80.6451,638.5693,-666.4307,-952.5806,2424008618.0,IMU",1,0,2424008618,
02/21/23 12:45 PM,E6FEE52,,273,"  1,E6FEE52, 0.3653,-1.5579,-9.7029, 2.1313,-9.1132,-80.6396,638.5254,-666.4526,-952.5586,2424017993.0,IMU",1,0,2424017993,
02/21/23 12:45 PM,E6FEE52,,277,"  1,E6FEE52, 0.3644,-1.5546,-9.7037, 2.1259,-9.0967,-80.6561,638.5034,-666.3867,-952.6245,2424027368.0,IMU",1,0,2424027368,
02/21/23 12:45 PM,E6FEE52,,281,"  1,E6FEE52, 0.3661,-1.5546,-9.7012, 2.1313,-9.1022,-80.6561,638.5254,-666.4087,-952.6245,2424036743.0,IMU",1,0,2424036743,
02/21/23 12:45 PM,E6FEE52,,285,"  1,E6FEE52, 0.3685,-1.5571,-9.7012, 2.1478,-9.1132,-80.6396,638.5913,-666.4526,-952.5586,2424046118.0,IMU",1,0,2424046118,
02/21/23 12:45 PM,E6FEE52,,289,"  1,E6FEE52, 0.3694,-1.5530,-9.7012, 2.1533,-9.0912,-80.6561,638.6133,-666.3647,-952.6245,2424055493.0,IMU",1,0,2424055493,
02/21/23 12:45 PM,E6FEE52,,293,"  1,E6FEE52, 0.3677,-1.5579,-9.6988, 2.1423,-9.1187,-80.6342,638.5693,-666.4746,-952.5366,2424064868.0,IMU",1,0,2424064868,
02/21/23 12:45 PM,E6FEE52,,297,"  1,E6FEE52, 0.3669,-1.5554,-9.7029, 2.1368,-9.1022,-80.6506,638.5474,-666.4087,-952.6025,2424074243.0,IMU",1,0,2424074243,
02/21/23 12:45 PM,E6FEE52,,301,"  1,E6FEE52, 0.3669,-1.5571,-9.7029, 2.1368,-9.1132,-80.6396,638.5474,-666.4526,-952.5586,2424083618.0,IMU",1,0,2424083618,
02/21/23 12:45 PM,E6FEE52,,305,"  1,E6FEE52, 0.3669,-1.5538,-9.7045, 2.1368,-9.0912,-80.6616,638.5474,-666.3647,-952.6465,2424092993.0,IMU",1,0,2424092993,
02/21/23 12:45 PM,E6FEE52,,309,"  1,E6FEE52, 0.3685,-1.5546,-9.7021, 2.1478,-9.0967,-80.6561,638.5913,-666.3867,-952.6245,2424102368.0,IMU",1,0,2424102368,
02/21/23 12:45 PM,E6FEE52,,313,"  1,E6FEE52, 0.3694,-1.5579,-9.7004, 2.1478,-9.1132,-80.6342,638.5913,-666.4526,-952.5366,2424111743.0,IMU",1,0,2424111743,
02/21/23 12:45 PM,E6FEE52,,317,"  1,E6FEE52, 0.3685,-1.5563,-9.7004, 2.1478,-9.1077,-80.6451,638.5913,-666.4307,-952.5806,2424121118.0,IMU",1,0,2424121118,
